county,total_capacity_mw,project_count,battery_capacity_mw,gas_capacity_mw,has_dc
Brazoria,3602.87,19,3302.12,300.75,False
Jack,1928.79,5,608.79,1320.0,False
Dallas,1612.19,4,875.21,736.98,True
Harris,1355.6100000000001,6,1355.6100000000001,0.0,False
Galveston,1277.82,5,1277.82,0.0,False
Wharton,1217.6,7,817.6,400.0,False
Hidalgo,1186.56,7,1186.56,0.0,False
Nueces,1128.46,6,1128.46,0.0,False
Cameron,1088.94,7,1088.94,0.0,False
Bexar,1061.09,4,1061.09,0.0,True
Upton,950.9000000000001,3,950.9000000000001,0.0,False
Fort Bend,936.27,3,936.27,0.0,False
Borden,909.0999999999999,2,909.0999999999999,0.0,False
Grimes,893.04,4,893.04,0.0,False
Matagorda,839.83,5,839.83,0.0,False
Collin,769.94,4,769.94,0.0,False
Waller,762.9000000000001,3,762.9000000000001,0.0,False
Lamar,714.5799999999999,4,714.5799999999999,0.0,False
Freestone,710.36,4,254.36,456.0,False
Zapata,702.6899999999999,2,702.6899999999999,0.0,False
Bastrop,668.71,3,668.71,0.0,False
Midland,657.9,2,204.9,453.0,False
Hopkins,636.29,2,636.29,0.0,False
Throckmorton,635.3000000000001,3,635.3000000000001,0.0,False
Jones,621.1800000000001,2,621.1800000000001,0.0,False
Howard,616.03,3,616.03,0.0,False
Angelina,600.0,1,0.0,600.0,False
Wichita,529.39,3,529.39,0.0,False
Victoria,511.68,1,511.68,0.0,False
Refugio,510.99,1,510.99,0.0,False
La Salle,503.9,1,503.9,0.0,False
Hardeman,503.0,2,503.0,0.0,False
Martin,493.69,3,493.69,0.0,False
Starr,483.21000000000004,3,483.21000000000004,0.0,False
Johnson,461.6,1,461.6,0.0,False
Robertson,428.83,2,428.83,0.0,False
Ellis,426.47999999999996,2,426.47999999999996,0.0,True
Zavala,425.1,2,425.1,0.0,False
Tom Green,415.08000000000004,2,415.08000000000004,0.0,False
Wise,396.35,2,396.35,0.0,False
Bee,394.06,2,394.06,0.0,False
Caldwell,389.76,2,201.36,188.4,False
Scurry,389.02000000000004,2,389.02000000000004,0.0,False
Carson,371.7,1,371.7,0.0,False
Leon,358.02,2,358.02,0.0,False
San Patricio,357.44,2,357.44,0.0,False
Ector,357.0,2,357.0,0.0,False
Colorado,351.37,2,351.37,0.0,False
Maverick,338.69,2,338.69,0.0,False
Brown,331.57,2,331.57,0.0,False
Lavaca,310.2,1,310.2,0.0,False
Chambers,307.72,1,307.72,0.0,False
Shackelford,307.32,1,307.32,0.0,True
Webb,306.94,1,306.94,0.0,False
Hood,306.32,1,0.0,306.32,False
Smith,305.3,1,305.3,0.0,False
Brazos,305.25,2,305.25,0.0,False
Castro,301.04,1,301.04,0.0,False
Gillespie,295.55,2,295.55,0.0,False
Lubbock,254.8,1,254.8,0.0,False
Rusk,254.8,1,254.8,0.0,False
Van Zandt,254.13,2,254.13,0.0,False
Bell,227.99,1,227.99,0.0,False
Dickens,213.81,1,213.81,0.0,False
Guadalupe,210.5,1,210.5,0.0,False
Wilson,209.0,1,209.0,0.0,False
Bosque,207.6,1,207.6,0.0,False
Tarrant,205.4,1,205.4,0.0,False
Lampasas,201.52,1,201.52,0.0,False
Taylor,201.2,1,201.2,0.0,True
Mills,201.1,1,201.1,0.0,False
Jackson,201.08,1,201.08,0.0,False
Grayson,201.0,1,201.0,0.0,False
Pecos,200.8,1,200.8,0.0,False
Wilbarger,200.54000000000002,2,200.54000000000002,0.0,False
Anderson,176.13,1,176.13,0.0,False
Rains,176.13,1,176.13,0.0,False
Hunt,176.13,1,176.13,0.0,False
Schleicher,174.24,1,174.24,0.0,False
Lee,153.67,1,153.67,0.0,False
Henderson,153.6,1,153.6,0.0,False
Navarro,150.52,1,150.52,0.0,False
Cooke,150.52,1,150.52,0.0,False
Comanche,150.5,1,150.5,0.0,False
Dewitt,150.49,1,150.49,0.0,False
Knox,150.39,1,150.39,0.0,False
Crockett,150.0,1,150.0,0.0,False
Montgomery,150.0,1,150.0,0.0,False
Austin,150.0,1,0.0,150.0,False
Burnet,125.5,1,125.5,0.0,False
Mclennan,104.36,1,104.36,0.0,False
Val Verde,102.96,1,102.96,0.0,False
Limestone,102.48,1,102.48,0.0,False
Karnes,102.07,1,102.07,0.0,False
Milam,101.9,1,101.9,0.0,False
Kinney,101.2,1,101.2,0.0,False
Willacy,101.2,1,101.2,0.0,False
Runnels,100.65,1,100.65,0.0,False
Nacogdoches,100.5,1,100.5,0.0,False
Cherokee,100.33,1,100.33,0.0,False
